especievalida,nombrecomun,estadomapa,ambiente,validacionambiente,longitud,latitud
Baeolophus wollweberi,carbonero embridado,AGUASCALIENTES,Terrestre,Válido,-102.56757,22.1756783
Calocitta colliei,"urraca cara negra, urraca-hermosa cara negra",AGUASCALIENTES,Terrestre,Válido,-102.375253,21.9684282
Cathartes aura,zopilote aura,AGUASCALIENTES,Terrestre,Válido,-102.5349899,21.781219
Crotophaga sulcirostris,garrapatero pijuy,AGUASCALIENTES,Terrestre,Válido,-102.2503138,21.8100119
Empidonax affinis,"mosquero pinero, papamoscas pinero",AGUASCALIENTES,Terrestre,Válido,-102.7233052,21.7232702
Glaucidium gnoma,tecolote serrano,AGUASCALIENTES,Terrestre,Válido,-102.840121,21.8207677
Jacana spinosa,jacana norteña,AGUASCALIENTES,Dulceacuícola,Válido,-102.372365,21.8045317
Mitrephanes phaeocercus,"mosquero copetón, papamoscas copetón",AGUASCALIENTES,Terrestre,Válido,-102.6134946,22.192392
Myadestes occidentalis,clarín jilguero,AGUASCALIENTES,Terrestre,Válido,-102.53333,22.16667
Myiarchus tuberculifer,papamoscas triste,AGUASCALIENTES,Terrestre,Válido,-102.3505211,22.1796162
Myioborus miniatus,"chipe de montaña, pavito alas negras",AGUASCALIENTES,Terrestre,Válido,-102.7396094,22.0441273
Myioborus pictus,"chipe ala blanca, pavito alas blancas",AGUASCALIENTES,Terrestre,Válido,-102.740156,22.029854
Polioptila melanura,perlita del desierto,AGUASCALIENTES,Terrestre,Válido,-102.427433,22.161221
Salpinctes obsoletus,"chivirín saltarroca, saltapared de rocas",AGUASCALIENTES,Terrestre,Válido,-102.2266362,21.6614057
Caracara plancus cheriway,caracara quebrantahuesos,AGUASCALIENTES,Terrestre,Válido,-102.2503138,21.8100119
Chlorophonia elegantissima,"eufonia capucha azul, eufonia gorra azul",AGUASCALIENTES,Terrestre,Válido,-102.740156,22.029854
Cyanocorax yncas,chara verde,AGUASCALIENTES,Terrestre,Válido,-102.252197,21.822138
Icterus pustulatus,"bolsero dorso rayado, calandria dorso rayado",AGUASCALIENTES,Terrestre,Válido,-102.372365,21.8045317
Melanotis caerulescens,mulato azul,AGUASCALIENTES,Terrestre,Válido,-102.4310732,21.8733673
Saucerottia beryllina,colibrí berilo,AGUASCALIENTES,Terrestre,Válido,-102.2941565,22.1388111
Tachybaptus dominicus,zambullidor menor,AGUASCALIENTES,Dulceacuícola,Válido,-102.2503138,21.8100119
Toxostoma curvirostre,cuicacoche pico curvo,AGUASCALIENTES,Terrestre,Válido,-102.1849974,22.2259997
Tyrannus melancholicus,"tirano melancólico, tirano pirirí, tirano tropical",AGUASCALIENTES,Terrestre,Válido,-102.2844385,21.9763896
Asio clamator,"búho cara blanca, búho cara clara",AGUASCALIENTES,Terrestre,Válido,-102,22
Contopus pertinax,"papamoscas José María, pibí tengofrío",AGUASCALIENTES,Terrestre,Válido,-102.66444,21.85944
Dryobates scalaris,carpintero mexicano,AGUASCALIENTES,Terrestre,Válido,-102.2503138,21.8100119
