especievalida,nombrecomun,estadomapa,claveestadomapa,municipiomapa,clavemunicipiomapa,localidad,region,longitud,latitud
Phalaropus tricolor,falaropo pico largo,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Phalaropus lobatus,falaropo cuello rojo,BAJA CALIFORNIA,02,ENSENADA,02001,PN Constitucion de 1857--Laguna Juarez/Laguna Hanson,MEXICO / BAJA CALIFORNIA / ENSENADA,-115.9085083,32.0453328
Phalaropus fulicarius,falaropo pico grueso,BAJA CALIFORNIA,02,ENSENADA,02001,Área verde -- Facultad de Ciencias Marinas,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6682934,31.8629753
Phalaenoptilus nuttallii,"tapacamino tevíi, tapacaminos pandeagua",AGUASCALIENTES,01,AGUASCALIENTES,01001,"Aguascalientes, Ags., México",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2229079,21.745631
Phainopepla nitens nitens,capulinero negro,CIUDAD DE MEXICO,09,GUSTAVO A. MADERO,09005,"SAN JUANICO, DELEGACION G. MADERO",MEXICO / DISTRITO FEDERAL,-99.105,19.515
Phainopepla nitens lepida,capulinero negro,BAJA CALIFORNIA,02,MEXICALI,02002,"HACIENDA SINALOA, 14 KM E SAN TELMO",MEXICO / BAJA CALIFORNIA,-115.2716667,32.545
Phainopepla nitens,capulinero negro,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Phaethornis superciliosus,ermitaño cola larga,CHIAPAS,07,SOLOSUCHIAPA,07084,"RIO TEAPA, SOLUSUCHIAPA, APPROX. 8 KM S",MEXICO / CHIAPAS,-93,17.3666667
Phaethornis striigularis,"colibrí ermitaño enano, ermitaño enano",CAMPECHE,04,CALAKMUL,04010,"Camino / Ramal a Dos Lagunas, Campeche, MX (17.884, -89.337)",MEXICO / CAMPECHE / CALAKMUL,-89.3372508,17.8837125
Phaethornis mexicanus,colibrí ermitaño mexicano,CHIAPAS,07,OCOZOCOAUTLA DE ESPINOSA,07061,Laguna Belgica,MEXICO / CHIAPAS / OCOZOCOAUTLA DE ESPINOSA,-93.448333,16.873333
Phaethornis longirostris,"colibrí ermitaño mesoamericano, colibrí ermitaño pico largo, ermitaño mexicano",CAMPECHE,04,CANDELARIA,04011,"Campeche, MX (17.817, -90.275)",MEXICO / CAMPECHE / CANDELARIA,-90.2748919,17.8171669
Phaethon lepturus,rabijunco cola blanca,CHIAPAS,07,TONALA,07097,Puerto Arista,MEXICO / CHIAPAS,-93.8033333,15.9466667
Phaethon aethereus mesonauta,rabijunco pico rojo,GUERRERO,12,PETATLAN,12048,BAHIA PETATLAN,MEXICO / GUERRERO,-101.2666667,17.5333333
Phaethon aethereus,rabijunco pico rojo,BAJA CALIFORNIA,02,SAN QUINTIN,02006,Bahía de los Ángeles,MEXICO / BAJA CALIFORNIA / ENSENADA,-113.5574341,28.9468706
Phaeoptila sordida,"colibrí opaco, colibrí oscuro",CIUDAD DE MEXICO,09,COYOACAN,09003,"Zona Metropolitana. Omega 132, San Francisco, Coyoacán, 04320 Ciudad de México, CDMX, México",MEXICO / DISTRITO FEDERAL / COYOACAN,-99.1685682,19.3416297
Phaeochroa cuvierii,"chupaflor pechiescamado, colibrí pecho escamoso",CAMPECHE,04,CALAKMUL,04010,Arroyo Negro,MEXICO / CAMPECHE / CALAKMUL,-89.2427216,17.8558331
Peucedramus taeniatus taeniatus,ocotero enmascarado,CHIAPAS,07,SAN CRISTOBAL DE LAS CASAS,07078,5 MI S CIUDAD DE LAS CASAS,MEXICO / CHIAPAS,-92.6166667,16.6583333
Peucedramus taeniatus jaliscensis,ocotero enmascarado,CHIAPAS,07,SAN CRISTOBAL DE LAS CASAS,07078,"LAS CASAS, 7 MI E SAN CRISTOBAL, KM 1183",MEXICO / CHIAPAS,-92.5666667,16.6666667
Peucedramus taeniatus giraudi,ocotero enmascarado,CIUDAD DE MEXICO,09,ALVARO OBREGON,09010,"LAS CRUCES, TACUBAYA",MEXICO / DISTRITO FEDERAL,-99.1933333,19.3983333
Peucedramus taeniatus arizonae,ocotero enmascarado,CHIHUAHUA,08,BATOPILAS DE MANUEL GOMEZ MORIN,08008,"BARRANCA DEL COBRE, CUMBRE",MEXICO / CHIHUAHUA,-107.5816667,27.0733333
Peucedramus taeniatus,ocotero enmascarado,AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,"Monte Grande, Sierra Fría",MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.6189456,22.2618257
Peucaea sumichrasti,zacatonero istmeño,CHIAPAS,07,TONALA,07097,Reserva de la Biosfera La Sepultura,MEXICO / CHIAPAS / TONALA,-93.646946,16.1749128
Peucaea ruficauda,zacatonero corona rayada,CHIAPAS,07,TONALA,07097,Reserva de la Biosfera La Sepultura,MEXICO / CHIAPAS / TONALA,-93.646946,16.1749128
Peucaea mystacalis,zacatonero embridado,CIUDAD DE MEXICO,09,CUAJIMALPA DE MORELOS,09004,Cuajimalpa,MEXICO / DISTRITO FEDERAL,-99.2933333,19.3452778
Peucaea humeralis,zacatonero pecho negro,COLIMA,06,COLIMA,06002,Camino a Piscila,MEXICO / COLIMA / COLIMA,-103.700007,19.1857211
Peucaea cassinii,zacatonero de Cassin,AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,"San José de Gracia, Ags., México",MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.4127029,22.1670522
Peucaea carpalis,"zacatonero ala rufa, zacatonero hombros canela",CHIHUAHUA,08,MADERA,08040,"Madera, Chih., México",MEXICO / CHIHUAHUA / MADERA,-108.7064719,29.0387215
Peucaea botterii,zacatonero de Botteri,AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,"Unnamed Road, Aguascalientes, MX (22.17, -102.423)",MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.4233823,22.1699979
Petrochelidon pyrrhonota,golondrina risquera,AGUASCALIENTES,01,EL LLANO,01010,"el llano, aguascalientes",MEXICO / AGUASCALIENTES / EL LLANO,-101.856233,21.911149
Petrochelidon fulva,golondrina pueblera,AGUASCALIENTES,01,CALVILLO,01003,"Arroyo El Terrero de Labor, Calvillo",MEXICO / AGUASCALIENTES / CALVILLO,-102.6689449,22.0305727
Penelopina nigra,pajuil,CHIAPAS,07,UNION JUAREZ,07105,Camino Talquian-Chiquihuites,MEXICO / CHIAPAS / UNION JUAREZ,-92.085257,15.086542
Penelope purpurascens purpurascens,pava cojolita,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cañada17,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3063333,16.2067778
Penelope purpurascens,pava cojolita,CAMPECHE,04,CALAKMUL,04010,Reserva de la Biosfera Calakmul--Zona Arqueológica Hormiguero,MEXICO / CAMPECHE / CALAKMUL,-89.4907236,18.4086194
Pelecanus occidentalis,"pelícano café, pelícano pardo",AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,Cortina de la Presa Calles,MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.4171522,22.141185
Pelecanus erythrorhynchos,"pelícano blanco, pelícano blanco americano",AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,Pueblo Viejo,MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.459569,22.1294556
Patagioenas speciosa,paloma escamosa,CAMPECHE,04,CALAKMUL,04010,"Mancolona, Campeche, MX (18.814, -89.29)",MEXICO / CAMPECHE / CALAKMUL,-89.2901742,18.8142339
Patagioenas nigrirostris,paloma triste,CAMPECHE,04,CALAKMUL,04010,"Camino / Ramal a Dos Lagunas, Campeche, MX (17.884, -89.337)",MEXICO / CAMPECHE / CALAKMUL,-89.3372508,17.8837125
Patagioenas leucocephala,paloma corona blanca,QUINTANA ROO,23,COZUMEL,23001,Cozumel- Stop by side of road,MEXICO / QUINTANA ROO / COZUMEL,-87.01397,20.40559
Patagioenas flavirostris flavirostris,paloma morada,CAMPECHE,04,CANDELARIA,04011,PACAITUN,MEXICO / CAMPECHE,-91.0833333,18.2166667
Patagioenas flavirostris,paloma morada,CAMPECHE,04,CAMPECHE,04002,19.751x-90.52 - 09/07/2017 9:58 a. m.,MEXICO / CAMPECHE / CAMPECHE,-90.5195522,19.7506027
Patagioenas fasciata,"paloma de collar, paloma encinera",AGUASCALIENTES,01,AGUASCALIENTES,01001,Las Palomas,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.3531988,21.7533643
Patagioenas cayennensis,paloma colorada,CAMPECHE,04,CARMEN,04003,"Carretera Federal 221, El Corozal, Campeche, MX (18.371, -91.185)",MEXICO / CAMPECHE / CARMEN,-91.1854275,18.3713693
Passerina versicolor,colorín morado,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Aguascalientes, Ags., México",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.1934058,21.9810656
Passerina rositae,colorín azulrosa,CHIAPAS,07,VILLA CORZO,07107,"Tonalá, 14.4 Km al SE y 12.8 Km al NE",MEXICO / CHIAPAS / VILLA CORZO,-93.5625,16.0719444
Passerina leclancherii,colorín pecho naranja,CHIAPAS,07,TONALA,07097,Reserva de la Biosfera La Sepultura,MEXICO / CHIAPAS / TONALA,-93.646946,16.1749128
Passerina cyanea,colorín azul,AGUASCALIENTES,01,CALVILLO,01003,"Cardonal: 40 km W Aguascalientes, Malpaso",MEXICO / AGUASCALIENTES,-102.66444,21.85944
Passerina ciris,colorín sietecolores,AGUASCALIENTES,01,AGUASCALIENTES,01001,Aguascalientes,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.3,21.87889
Passerina caerulea,picogordo azul,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Zona Poniente, Universidad Autónoma de Aguascalientes, 20130 Aguascalientes, Ags., México",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.3205675,21.9120849
Passerina amoena,"colorín lázuli, colorín pecho canela",AGUASCALIENTES,01,AGUASCALIENTES,01001,Presa del Niagara,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.372365,21.8045317
Passerella iliaca unalaschcensis,gorrión vulpino de Shumagin,BAJA CALIFORNIA,02,ENSENADA,02001,"Sierra San Pedro Mártir, La Grulla",MEXICO / BAJA CALIFORNIA,-115.45,30.9166667
Passerella iliaca schistacea,gorrión vulpino apizarrado,BAJA CALIFORNIA,02,ENSENADA,02001,"Sierra Juarez, Laguna Hausen",MEXICO / BAJA CALIFORNIA,-115.9063994,32.0489705
Passerella iliaca megarhyncha,gorrión vulpino picudo,BAJA CALIFORNIA,02,MEXICALI,02002,"Sierra Juárez, Los Pozos",MEXICO / BAJA CALIFORNIA,-115.864167,32.288333
Passerella iliaca,gorrión rascador,BAJA CALIFORNIA,02,ENSENADA,02001,PN Constitucion de 1857--Laguna Juarez/Laguna Hanson,MEXICO / BAJA CALIFORNIA / ENSENADA,-115.9085083,32.0453328
Passerculus sandwichensis savanna,gorrión sabanero,TAMAULIPAS,28,MATAMOROS,28022,Matamoros,MEXICO / TAMAULIPAS,-97.5033333,25.8683333
Passerculus sandwichensis sandwichensis,gorrión sabanero,CAMPECHE,04,CHAMPOTON,04004,25 KM. SO. CHAMPOTON,MEXICO / CAMPECHE,-90.8883333,19.1916667
Passerculus sandwichensis rostratus,gorrión sabanero,BAJA CALIFORNIA,02,MEXICALI,02002,San Felipe,MEXICO / BAJA CALIFORNIA,-114.8333333,31.0233333
Passerculus sandwichensis nevadensis,gorrión sabanero,CHIAPAS,07,FRONTERA COMALAPA,07034,N. CD. CUAUHTEMOC,MEXICO / CHIAPAS,-92.0033333,15.65
Passerculus sandwichensis magdalenae,gorrión sabanero,BAJA CALIFORNIA SUR,03,LA PAZ,03003,"ESTERO SALINAS, BAHIA MAGDALENA",MEXICO / BAJA CALIFORNIA SUR,-111.6833333,24.5533333
Passerculus sandwichensis labradorius,gorrión sabanero,YUCATAN,31,PROGRESO,31059,"3 KM. E. PUERTO CHICXULUB, E. PROGRESO",MEXICO / YUCATAN,-89.5466667,21.2983333
Passerculus sandwichensis guttatus,gorrión sabanero,BAJA CALIFORNIA SUR,03,MULEGE,03002,Punta Abreojos,MEXICO / BAJA CALIFORNIA SUR,-113.55,26.7666667
Passerculus sandwichensis brunnescens,gorrión sabanero,JALISCO,14,LAGOS DE MORENO,14053,"CHARCO REDONDO, 20 MI W OJUELOS",MEXICO / JALISCO,-101.8683333,21.8183333
Passerculus sandwichensis brooksi,gorrión sabanero,BAJA CALIFORNIA,02,SAN QUINTIN,02006,SAN ANDRES,MEXICO / BAJA CALIFORNIA,-114.25,28.7166667
Passerculus sandwichensis beldingi,gorrión sabanero,BAJA CALIFORNIA,02,ENSENADA,02001,Ensenada,MEXICO / BAJA CALIFORNIA,-116.605,31.8583333
Passerculus sandwichensis atratus,gorrión sabanero,SINALOA,25,ESCUINAPA,25009,ESCUINAPA,MEXICO / SINALOA,-105.7766667,22.8316667
Passerculus sandwichensis anulus,gorrión sabanero,BAJA CALIFORNIA SUR,03,COMONDU,03001,SANTO DOMINGO LANDING,MEXICO / BAJA CALIFORNIA SUR,-111.92,25.505
Passerculus sandwichensis anthinus,gorrión sabanero,CIUDAD DE MEXICO,09,TLALPAN,09012,"LA CIMA, LIMITE DEL ESTADO EN EL S",MEXICO / DISTRITO FEDERAL,-99.1983333,19.1033333
Passerculus sandwichensis alaudinus,gorrión sabanero,BAJA CALIFORNIA,02,SAN QUINTIN,02006,EL ROSARIO,MEXICO / BAJA CALIFORNIA,-115.485,30.0416667
Passerculus sandwichensis,gorrión sabanero,AGUASCALIENTES,01,RINCON DE ROMOS,01007,San Jacinto,MEXICO / AGUASCALIENTES,-102.233884,22.348508
Passer domesticus domesticus,gorrión casero,BAJA CALIFORNIA,02,MEXICALI,02002,"HACIENDA SINALOA, 14 KM E SAN TELMO",MEXICO / BAJA CALIFORNIA,-115.2716667,32.545
Passer domesticus,"gorrión casero, gorrión doméstico",AGUASCALIENTES,01,AGUASCALIENTES,01001,"Zona Poniente, Universidad Autónoma de Aguascalientes, 20130 Aguascalientes, Ags., México",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.3205675,21.9120849
Parkesia noveboracensis,chipe charquero,AGUASCALIENTES,01,AGUASCALIENTES,01001,El Sabinal,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.3739529,21.7539196
Parkesia motacilla,chipe arroyero,AGUASCALIENTES,01,RINCON DE ROMOS,01007,San Jacinto,MEXICO / AGUASCALIENTES,-102.233884,22.348508
Pardirallus maculatus insolitus,rascón pinto,GUERRERO,12,ZIRANDARO,12073,"ZIRáNDARO, CIRIQUICHO, 3 KM W DE ZIRáNDARO",MEXICO / GUERRERO,-101.0416667,18.4916667
Pardirallus maculatus,rascón pinto,CAMPECHE,04,CALKINI,04001,Road to Isla Arena from Calkini,MEXICO / CAMPECHE / CALKINI,-90.3434,20.52984
Paraclaravis mondetoura,tórtola pecho morado,CHIAPAS,07,SAN CRISTOBAL DE LAS CASAS,07078,Estación Biológica Huitepec,MEXICO / CHIAPAS / SAN CRISTOBAL DE LAS CASAS,-92.6680556,16.7561111
Parabuteo unicinctus harrisi,aguililla rojinegra,BAJA CALIFORNIA,02,MEXICALI,02002,"COLORADO DELTA, 3 MI E BLACK BUTTE",MEXICO / BAJA CALIFORNIA,-115.17,32.355
Parabuteo unicinctus,aguililla rojinegra,AGUASCALIENTES,01,PABELLON DE ARTEAGA,01006,"Unnamed Road, Aguascalientes, MX (22.031, -102.334)",MEXICO / AGUASCALIENTES / PABELLON DE ARTEAGA,-102.3336598,22.0307144
Panyptila sanctihieronymi,vencejo tijereta mayor,CHIAPAS,07,LA TRINITARIA,07099,PN Lagunas de Montebello--Sendero Laguna Pojoj,MEXICO / CHIAPAS / LA TRINITARIA,-91.6739065,16.0997026
Panyptila cayennensis,vencejo tijereta menor,CAMPECHE,04,CALAKMUL,04010,"Dos Naciones, Campeche",MEXICO / CAMPECHE / CALAKMUL,-89.3367215,17.969115
Pandion haliaetus ridgwayi,gavilán pescador,QUINTANA ROO,23,TULUM,23009,BOCA DE PAILA,MEXICO / QUINTANA ROO,-87.4833333,20.0166667
Pandion haliaetus carolinensis,gavilán pescador,BAJA CALIFORNIA,02,ENSENADA,02001,Ensenada,MEXICO / BAJA CALIFORNIA,-116.605,31.8583333
Pandion haliaetus,"gavilán pescador, águila pescadora",AGUASCALIENTES,01,CALVILLO,01003,"Calvillo Municipality, Aguascalientes, Mexico",MEXICO / AGUASCALIENTES / CALVILLO,-102.6469552,21.8501715
Pampa rufa,"fandanguero canelo, fandanguero rojizo",CHIAPAS,07,UNION JUAREZ,07105,Camino Talquian-Chiquihuites,MEXICO / CHIAPAS / UNION JUAREZ,-92.085257,15.086542
Pampa curvipennis excellens,"fandanguero cola larga, fandanguero tuxtleño",CHIAPAS,07,OCOZOCOAUTLA DE ESPINOSA,07061,Veinte Casas,MEXICO / CHIAPAS / OCOZOCOAUTLA DE ESPINOSA,-93.54814,16.9774
Pampa curvipennis,"fandanguero cola cuña, fandanguero mexicano",CAMPECHE,04,CALAKMUL,04010,Calakmul - Dos Naciones camp area,MEXICO / CAMPECHE / CALAKMUL,-89.3645047,17.9672613
Pachysylvia decurtata,"verdillo gris, vireocillo cabeza gris",CAMPECHE,04,CALAKMUL,04010,Nuevo Becal 0.5 Km al Sureste,MEXICO / CAMPECHE / CALAKMUL,-89.3008333,18.605
Pachyramphus polychopterus,cabezón alas blancas,CHIAPAS,07,OCOSINGO,07059,Monumentos Naturales Yaxchilán--Zona Arqueológica Yaxchilán,MEXICO / CHIAPAS / OCOSINGO,-90.967091,16.899682
Pachyramphus major major,mosquero-cabezón mexicano,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cafetal10,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3070833,16.189
Pachyramphus major,"cabezón mexicano, mosquero-cabezón mexicano",CAMPECHE,04,CALAKMUL,04010,Calakmul - Dos Naciones camp area,MEXICO / CAMPECHE / CALAKMUL,-89.3645047,17.9672613
Pachyramphus cinnamomeus fulvidior,mosquero-cabezón canelo,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cañada13,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3065556,16.2053333
Pachyramphus cinnamomeus,"cabezón canelo, mosquero-cabezón canelo",CHIAPAS,07,MARAVILLA TENEJAPA,07115,"(16.2486,-91.1929) Nueva Argentina hasta la cueva",MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.192916,16.248622
Pachyramphus aglaiae yucatanensis,mosquero-cabezón degollado,CAMPECHE,04,CARMEN,04003,RIO PITAL,MEXICO / CAMPECHE,-91.1333333,18.55
Pachyramphus aglaiae sumichrasti,mosquero-cabezón degollado,CAMPECHE,04,ESCARCEGA,04009,Matamoros,MEXICO / CAMPECHE,-90.6466667,18.58
Pachyramphus aglaiae gravis,mosquero-cabezón degollado,NUEVO LEON,19,MONTEMORELOS,19038,"MONTE MORELOS, 20 KM NW",MEXICO / NUEVO LEON,-99.9666667,25.0666667
Pachyramphus aglaiae albiventris,mosquero-cabezón degollado,COLIMA,06,CUAUHTEMOC,06005,1.5 MI NE CUAUHTéMOC,MEXICO / COLIMA,-103.5716667,19.3533333
Pachyramphus aglaiae aglaiae,mosquero-cabezón degollado,OAXACA,20,SAN GABRIEL MIXTEPEC,20153,"SAN GABRIEL MIXTEPEC, 5 KM E",MEXICO / OAXACA,-97.035,16.1
Pachyramphus aglaiae,"cabezón degollado, mosquero-cabezón degollado",AGUASCALIENTES,01,AGUASCALIENTES,01001,Presa del Niagara,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.372365,21.8045317
Oxyura jamaicensis rubida,pato tepalcate,BAJA CALIFORNIA SUR,03,LOS CABOS,03008,San José del Cabo,MEXICO / BAJA CALIFORNIA SUR,-109.69,23.055
Oxyura jamaicensis,pato tepalcate,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Ortalis wagleri,chachalaca vientre castaño,CHIAPAS,07,TONALA,07097,12.1 mi SE Tonala,MEXICO / CHIAPAS,-93.6241729,15.9611131
Ortalis vetula,"chachalaca oriental, chachalaca vetula",CAMPECHE,04,CALAKMUL,04010,Nuevo Becal 0.5 Km al Sureste,MEXICO / CAMPECHE / CALAKMUL,-89.3008333,18.605
Ortalis poliocephala,chachalaca pálida,CHIAPAS,07,TONALA,07097,Reserva de la Biosfera La Sepultura,MEXICO / CHIAPAS / TONALA,-93.646946,16.1749128
Ortalis leucogastra,chachalaca vientre blanco,CHIAPAS,07,MAPASTEPEC,07051,Above Mapastepec,MEXICO / CHIAPAS / MAPASTEPEC,-92.8918767,15.4802515
Ornithion semiflavum,"mosquerito enano, mosquero ceja blanca",CAMPECHE,04,CALAKMUL,04010,Cerro de Dos Naciones.,MEXICO / CAMPECHE / CALAKMUL,-89.3685007,17.8727331
Oriturus superciliosus,"zacatonero rayado, zacatonero serrano",AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,"Monte Grande, Sierra Fría",MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.6189456,22.2618257
Oreothlypis superciliosa,"chipe cejas blancas, parula ceja blanca",CHIAPAS,07,UNION JUAREZ,07105,Camino Talquian-Chiquihuites,MEXICO / CHIAPAS / UNION JUAREZ,-92.085257,15.086542
Oreoscoptes montanus,"cuicacoche chato, cuitlacoche de chías",BAJA CALIFORNIA,02,ENSENADA,02001,"Ensenada, B.C., México",MEXICO / BAJA CALIFORNIA / ENSENADA,-114.0776222,29.3004184
Oreortyx pictus pictus,codorniz de montaña,BAJA CALIFORNIA,02,ENSENADA,02001,LA GRULLA,MEXICO / BAJA CALIFORNIA,-115.45,30.9166667
Oreortyx pictus eremophilus,codorniz de montaña,BAJA CALIFORNIA,02,ENSENADA,02001,"Laguna Hanson, Sierra Juárez",MEXICO / BAJA CALIFORNIA,-115.91,32.0466667
Oreortyx pictus confinis,codorniz de montaña,BAJA CALIFORNIA,02,ENSENADA,02001,"SAN PEDRO MARTIR MTS, LA GRULLA",MEXICO / BAJA CALIFORNIA,-115.45,30.9166667
Oreortyx pictus,codorniz de montaña,BAJA CALIFORNIA,02,ENSENADA,02001,"Unnamed Road, Baja California, MX (32.043, -115.854)",MEXICO / BAJA CALIFORNIA / ENSENADA,-115.8542121,32.0432978
Oreophasis derbianus,"pavón, pavón cornudo",CHIAPAS,07,MAPASTEPEC,07051,Mapastepec,MEXICO / CHIAPAS / MAPASTEPEC,-92.8922222,15.4244444
Oporornis agilis,chipe de Connecticut,BAJA CALIFORNIA,02,ENSENADA,02001,Motel California,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6864616,31.8846273
Onychorhynchus coronatus mexicanus,mosquero real,CAMPECHE,04,CALAKMUL,04010,XPUJIL (28 KM N;,MEXICO / CAMPECHE,-89.3933333,18.7766667
Onychorhynchus coronatus,mosquero real,CAMPECHE,04,CALAKMUL,04010,Reserva de la Biosfera Calakmul--Humedal,MEXICO / CAMPECHE / CALAKMUL,-89.3328902,18.5042572
Onychoprion fuscatus,"charrán albinegro, charrán sombrío",BAJA CALIFORNIA SUR,03,LOS CABOS,03008,Punta Arena,MEXICO / BAJA CALIFORNIA SUR / LOS CABOS,-109.47348,23.5540365
Onychoprion anaethetus,charrán embridado,CIUDAD DE MEXICO,09,XOCHIMILCO,09013,Parque Ecológico de Xochimilco,MEXICO / CIUDAD DE MEXICO / XOCHIMILCO,-99.0963364,19.2919773
Oncostoma cinereigulare,"mosquerito pico curvo, mosquero pico curvo",CAMPECHE,04,CALAKMUL,04010,"Oxpetun, Yaxché Campeche Conhuas-Calakmul Zona Arqueológica, Campeche, MX (18.534, -89.901)",MEXICO / CAMPECHE / CALAKMUL,-89.9012736,18.5338613
Oenanthe oenanthe,collalba norteña,BAJA CALIFORNIA,02,SAN QUINTIN,02006,Villa Jesús María--Campo Agrícola al Noroeste,MEXICO / BAJA CALIFORNIA / ENSENADA,-114.0078735,28.2961245
Odontophorus guttatus,codorniz bolonchaco,CAMPECHE,04,CALAKMUL,04010,"Quiché las Pailas, 2 Km al Noreste del Poblado",MEXICO / CAMPECHE / CALAKMUL,-89.3361111,18.0813889
Nyctiphrynus yucatanicus,"tapacamino yucateco, tapacaminos huil",CAMPECHE,04,CALAKMUL,04010,Reserva de la Biosfera Calakmul--Zona Arqueológica Hormiguero,MEXICO / CAMPECHE / CALAKMUL,-89.4907236,18.4086194
Nyctiphrynus mcleodii,"tapacamino prío, tapacaminos prío",CHIHUAHUA,08,CHINIPAS,08020,"25 MI NE DE GUIROCOBA, 4200!",MEXICO / CHIHUAHUA,-108.5216667,27.0533333
Nyctidromus albicollis yucatanensis,chotacabras pauraque,CAMPECHE,04,CHAMPOTON,04004,RIO CHAMPOTON,MEXICO / CAMPECHE,-90.7216667,19.355
Nyctidromus albicollis merrilli,chotacabras pauraque,CAMPECHE,04,CHAMPOTON,04004,"YOHALTIN, NEAR, APAZOTE",MEXICO / CAMPECHE,-90.3133333,19.0133333
Nyctidromus albicollis albicollis,chotacabras pauraque,CHIAPAS,07,ESCUINTLA,07032,LA GRADA - TAJUCO,MEXICO / CHIAPAS,-92.65,15.35
Nyctidromus albicollis,chotacabras pauraque,BAJA CALIFORNIA,02,ENSENADA,02001,Sierra Juarez,MEXICO / BAJA CALIFORNIA,-115.91,32.04667
Nycticorax nycticorax,"garza nocturna corona negra, pedrete corona negra",AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Nyctibius jamaicensis,"pájaro estaca, pájaro estaca norteño",CAMPECHE,04,HOPELCHEN,04006,"Hopelchén, Camp., México",MEXICO / CAMPECHE / HOPELCHEN,-89.4062333,18.9840045
Nyctibius grandis,"bienparado mayor, pájaro estaca mayor",CHIAPAS,07,OCOSINGO,07059,"Arroyo San José, Boca de Chajul. Reserva de la Biósfera Montes Azules, Selva Lacandona",MEXICO / CHIAPAS / OCOSINGO,-90.9205556,16.1380556
Nyctanassa violacea violacea,pedrete corona clara,GUERRERO,12,SAN MARCOS,12053,Río Papagayo,MEXICO / GUERRERO,-99.5833333,16.75
Nyctanassa violacea bancrofti,pedrete corona clara,BAJA CALIFORNIA SUR,03,MULEGE,03002,LAGUNA POND,MEXICO / BAJA CALIFORNIA SUR,-113.55,26.7666667
Nyctanassa violacea,"garza nocturna corona clara, pedrete corona clara",AGUASCALIENTES,01,AGUASCALIENTES,01001,"Pirules, Aguascalientes, Ags., México",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.3188858,21.8583335
Numenius phaeopus,zarapito trinador,BAJA CALIFORNIA,02,ENSENADA,02001,"Bahia Ensenada, Ensenada, B.C., México",MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6202056,31.8592524
Numenius borealis,zarapito boreal,CHIHUAHUA,08,CASAS GRANDES,08013,"MIMBRES VALLEY, LAKE PALOMAS",MEXICO / CHIHUAHUA,-107.9733333,30.3566667
Numenius americanus,zarapito pico largo,AGUASCALIENTES,01,JESUS MARIA,01005,Av. Prol. Zaragoza,MEXICO / AGUASCALIENTES / JESUS MARIA,-102.3088268,21.9427619
Nucifraga columbiana,cascanueces americano,BAJA CALIFORNIA,02,ENSENADA,02001,PN Constitucion de 1857--Laguna Juarez/Laguna Hanson,MEXICO / BAJA CALIFORNIA / ENSENADA,-115.9085083,32.0453328
