nombrecomun,TOTAL_RECORDED_SPECIES_BY_COMMON_NAME
loro corona azul,2480
colibrí frente verde,2464
águila tirana,2456
"breñero garganta pálida, musguero garganta pálida",2452
loro cabeza oscura,2378
tecolote rítmico,2378
ostrero negro,2360
"carpintero de Strickland, carpintero transvolcánico",2352
cuervo tamaulipeco,2352
"rascador oreja blanca, rascador orejas blancas",2350
"tecolote del oeste, tecolote occidental",2336
tinamú mayor,2326
"playero brincaolas, playero roquero",2322
"flautín cabezón mesoamericano, saltarín café",2276
"breñero rojizo, musguero castaño",2268
zorzal pecho amarillo,2258
"manaquín cuello blanco, saltarín cuello blanco",2248
colibrí cola pinta,2248
"rascón cara gris, rascón limícola",2244
chotacabras zumbón,2226
"elenia caribeña, mosquero elenia caribeño",2224
gaviota sombría,2224
rascador pico naranja,2222
colibrí pico corto,2208
toquí pinto,2206
"mosquerito rabadilla amarilla, mosquero rabadilla amarilla",2156
vireo pizarra,2144
chara pinta,2132
mosquero del Balsas,2124
trepatroncos pico cuña,2124
"mosquerito cejas blancas, mosquero ceja gris",2106
momoto enano,2088
polluela pecho gris,2088
"colibrí pico largo, colibrí picudo coroniazul",2080
paloma escamosa,2066
cuicacoche moteado,2064
ninfa mexicana,2060
"verdillo ocre, vireocillo corona canela",2048
chara de niebla,2036
"junco de Isla Guadalupe, junco ojo oscuro",1990
águila real,1984
tinamú menor,1968
"trepatroncos manchado, trepatroncos moteado",1958
vireo de Filadelfia,1958
pato arcoíris,1956
playero vagabundo,1924
colorín azulrosa,1922
colibrí ermitaño mexicano,1908
"piranga escarlata, tangara escarlata",1908
gorrión canario sabanero,1902
águila elegante,1894
gorrión serrano,1894
halcón mexicano,1888
"tortolita pecho liso, tórtola pecho liso",1876
cuicacoche crisal,1874
zacatonero istmeño,1866
pardela gris,1862
"rascón costero del atlántico, rascón picudo",1850
paíño de Leach,1848
aguililla canela,1842
"rascón cuello canela, rascón cuello rufo",1838
ibis cara oscura,1818
chipe atigrado,1812
pardela patas rosadas,1812
loro corona lila,1788
mielero verde,1744
"fandanguero canelo, fandanguero rojizo",1736
quetzal mesoamericano,1734
bobo enmascarado,1724
"tapacamino tevíi, tapacaminos pandeagua",1708
"mirlo azteca, mirlo pinto",1698
"chipe de pechera, chipe enlutado",1698
carpintero alirrojo guatemalteco,1696
mirlo acuático norteamericano,1686
chachalaca vientre blanco,1682
cuclillo rayado,1672
"mascarita del Lerma, mascarita transvolcánica",1658
vencejo de chimenea,1654
chipe rosado,1644
codorniz de Moctezuma,1632
"jilguerito cara negra, jilguero gris",1608
salteador parásito,1604
zambullidor cornudo,1602
zarapito ganga,1592
"papamoscas rayado, papamoscas rayado cheje",1588
cotorra serrana oriental,1568
"mosquerito gorra café, mosquero gorra parda",1564
"alcuela oscura, alquita oscura",1534
zacatonero oaxaqueño,1528
"tapacamino cola pinta, tapacaminos sabanero",1526
chara garganta blanca,1516
"mosquerito enano, mosquero ceja blanca",1512
vireo gris,1502
falaropo pico grueso,1494
chara enana,1494
"gaviota ala glauca, gaviota alas blancas",1470
carbonero cejas blancas,1460
tecolote enano,1456
"salteador pomarino, salteador robusto",1454
avetoro norteño,1448
"chipe cachetes amarillos, chipe mejilla dorada",1448
aguililla real,1440
rascón pinto,1434
vireo enano,1432
pato chillón,1432
mosquero cardenal,1426
batará mayor,1420
"hormiguero ala punteada, hormiguero alas punteadas",1384
faisán de collar,1384
colibrí cola rayada,1372
junco sudcaliforniano,1370
mérgulo de Craveri,1352
chipe azulnegro,1348
"tangara capucha negra, tangara garganta negra",1344
"mosquero ailero, papamoscas ailero",1338
chara piñonera,1314
"colibrí miahuatleco, colibrí oaxaqueño",1314
cormorán pelágico,1312
codorniz bolonchaco,1304
chipe de pradera,1300
"hojarasquero pecho canela, hojarasquero pecho rufo",1288
tangara cabeza rayada,1282
zacatonero cinco rayas,1278
rascón azteca,1274
cotorra serrana occidental,1274
"tangara rabadilla roja, tangara terciopelo",1248
escribano collar castaño,1238
gorrión de Worthen,1236
"chipe ala dorada, chipe alas amarillas",1210
"mirlo plebeyo, mirlo serrano",1206
codorniz coluda veracruzana,1206
"chipe crisal, chipe de colima",1202
grulla gris,1194
buco de collar,1188
"colibrí mixteco, colibrí tijereta oaxaqueño",1180
"espatulilla gris, mosquerito espatulilla gris",1166
"bolsero guatemalteco, calandria guatemalteca",1164
"pavón, pavón cornudo",1154
"cuicacoche chato, cuitlacoche de chías",1148
bobo patas rojas,1136
pía guardabosques,1134
tordo gigante,1120
pájaro cantil,1118
"jilguerito canario, jilguero canario",1118
"búho cara blanca, búho cara clara",1110
"tapacamino huil, tapacaminos yucateco",1104
trepatroncos gigante,1102
loro cabeza amarilla,1096
búho leonado,1092
"chivirín de Sumichrast, cuevero de Sumichrast",1092
gavilán cabeza gris,1088
"zumbador guatemalteco, zumbador magenta",1088
"mosquerito fajado, mosquero fajado",1084
"mosquero canelo, plañidera alazán",1080
gavilán bidentado,1076
chara gorro azul,1072
"quetzal orejón, trogón orejón",1064
pardela cola cuña,1046
mérgulo de scripps,1040
"tapacamino yucateco, tapacaminos huil",1032
"chivirín rojizo, saltapared albicanelo",1030
"tecolote del este, tecolote oriental",1020
"búho cuerno corto, búho sabanero",1006
chipe castaño,1004
azulejo pálido,1000
colimbo menor,998
clarín norteño,986
piranga aguacatera de la altiplanicie,976
rascador patilludo,974
tangara chiapaneca,972
bisbita llanera,948
milano plomizo,942
coa elegante del noreste,940
"chorlo dominico, chorlo dorado americano",938
"perico barrado, periquito barrado",938
"chorlito, chorlo, piquigrueso, tildío de Belding",934
codorniz de montaña,932
hormiguero cholino escamoso,932
"chivirín de Nava, cuevero de Nava",926
albatros patas negras,924
semillero pico grueso,916
buco barbón,916
"colibrí capucha azul, colibrí nuca blanca",904
"perico catarina, periquito catarino",892
ganso de Ross,882
chara occidental,876
"colibrí cola blanca, colibrí guerrerense",874
"charrán albinegro, charrán sombrío",868
tecolote del Balsas,854
chipe corona café,848
"charrán café, charrán-bobo café",838
cotinga azuleja,834
colibrí cola azul,828
zumbador de Allen,826
